"original_path","file_type","file_size","sha256","category_guess"
"AGENTS.md",".md","4535","EB7AA0D64DD4B8D9794D69E19B4B9C87B8D01C257825640324638F836639C990","AI Agents"
"Build a Chrome Extension in 60 seconds (ytranscript.app).txt",".txt","1320","88C45B5C1CABB6F841E85244F187AFCADD42CB10359619035D0FC6886A7AF21A","Chrome Extensions"
"Chomedevpage.txt",".txt","75137","159546B3B93F07505A99FE0249B78CC0F084E674D99A322B840B979C50848BF5","Additional Resources"
"CLONE ANY WEBSITE IN MINUTES (FRONT & BACKEND)—NO CODING, NO BS, 3 TOOLS, 3 STEPS - TRAE - NETLI (ytranscript.app).txt",".txt","3647","B9D919BAF8749A7CBE588467B77CDCCA6A32D93AE9805AC17328D2BFEE5988EA","App Building and Distribution"
"Create Your First Chrome Extension (That Adds This Button to LinkedIn) (ytranscript.app).txt",".txt","8752","E8F6C4BF344F62A36BE8C077FD4CD5CA6A9091C5D5770B6C5F456D5801013815","Chrome Extensions"
"Harvard i-lab - Startup Secrets - Go to Market Strategies (ytranscript.app).txt",".txt","146007","B901177EF97CAAC63E8C1434FA21103631BC2C6B4107831E6DC8AE55DBD4D19C","SEO and Growth Marketing"
"How I Built It - $20K - Month Chrome Extension (ytranscript.app).txt",".txt","12546","39774046D2712591B6AAD5EBA983CC92F1A41BF8322AE73AB9C4FEEA1EA11D74","Chrome Extensions"
"How to Build a Chrome Extension from scratch using Vite, React and TypeScript (ytranscript.app).txt",".txt","12364","A5216C8664D15A8894883D03527FC2D53BC34C5F8CABFCBC70BDFBD3333BF831","Chrome Extensions"
"How to Create Your Chrome Extension Using AI (ytranscript.app).txt",".txt","6691","978CCBC3800B97AB1880BEE335EB357A77ED32EA380139955A64370F3CF172F8","Chrome Extensions"
"how-to-actually-think-like-a-graphic-designer.txt",".txt","11219","1B46D882D66FC2FFEEA68E6CA4E36B1C73C0FBF0B2C6813CCCCB48E224F8E740","App Design and UX"
"New Text Document (2).txt",".txt","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","Additional Resources"
"New Text Document.txt",".txt","7793867","EFF9B1070FDAA9CF1710A0A2A157D03B2C68F4C4D9911A75C83027CC27E4020D","Additional Resources"
"Value Props - Create a Product People Will Actually Buy (ytranscript.app).txt",".txt","89226","61F4A9B35A9144950C7EC7ECF9110E203DD4B5BA2352BC8D49F20733F4962C76","SEO and Growth Marketing"
"VideoTranscriber_100 Hours Testing Claude Code vs Antigravity (honest results).txt",".txt","34223","FD1EBC8F504F10689A93A88DA3809C358EA99941A25BAD4F7194C1A15373C5B9","Claude Code"
"VideoTranscriber_30 Years of Business Knowledge in 2hrs 26mins.txt",".txt","160386","BC608E15689CAD34DD9FD784F76DE2EF47CFB1D01D007EE613DC917A8DE982F6","Entrepreneurship and Startups"
"VideoTranscriber_4 levels of UI_UX design (and BIG mistakes to avoid).txt",".txt","12977","7C88795FF552C0F54F843A894D6E666E36492BAC10C2097797EFBCAF3D0ADE85","App Design and UX"
"VideoTranscriber_6 Tips on Being a Successful Entrepreneur _ John Mullins _ TED.txt",".txt","14285","A24EC580827FA510FD103C9373FD25D584C29DACE61A81450986CFD51B549BC6","Entrepreneurship and Startups"
